"","date_ym","n_comp"
"1",Sep 2021,591
"2",Oct 2021,1950
"3",Nov 2021,1834
"4",Dec 2021,1776
"5",Jan 2022,1547
"6",Feb 2022,1577
"7",Mar 2022,2180
"8",Apr 2022,1908
"9",May 2022,2568
"10",Jun 2022,2934
"11",Jul 2022,3324
"12",Aug 2022,3365
"13",Sep 2022,2990
"14",Oct 2022,2460
"15",Nov 2022,2266
"16",Dec 2022,2111
"17",Jan 2023,2395
"18",Feb 2023,1856
"19",Mar 2023,2113
"20",Apr 2023,2513
"21",May 2023,3038
"22",Jun 2023,3177
"23",Jul 2023,3979
"24",Aug 2023,2783
